negative;I decided to try the Ark Fish Restaurant as whenever I pass it is always very busy I now realise this is due to how slow the staff are On arrival a rather unfriendly member of staff threw some menus at us and walked off After waiting for almost half an hour we eventually were able to order The staff were very unhelpful and did not give any wine food recomendations when asked I ordered a prawn cocktail starter which tasted off I decided not to eat it as was concerned about becoming ill During this period we had asked three times if our drinks were coming When I eventually received my wine it was in a dirty glass and tasted vile Again we waited and waited for our mains to be brought over The main was edible at best The atmosphere was like that of a school canteen and we were so desperate to leave we asked for our bill and decided against risking a dessert The bill arrived and had a number of items on there which we had ordered and not received I explained this to the waiter who tutted and took the bill to resolve the issue The food came to and was nowhere near as nice as Wood Fish and Chip shop along the road I would never return to The Ark and I genuinley believe that it was the worst restaurant I have been to
negative; After our first visit we have been advised to reserve in advance to ensure to have a table next time what we have done The welcome was pretty dull as usual it looks like from the person in charge the one owning the place I guess  but at the time I decided to ignore that fact in order to enjoy fully the experience there  The restaurant s dÇ¸cor is like a Japanese izakaya except I think for the single double tables at the counter having no view on the people preparing the food for you instead as the seats are side by side you ll face the entire time a big piece of wood not that great settings to tell you the truth  But I decided to ignore that too  The food was OK the quality of the sake was really good and served in nice original authentic sake bottle The waitress was nice friendly smiley and everything was going fine until we have been ASK TO LEAVE by the manageress within minutes when we were still eating our main course saying the table was booked for in minutes What a shock  First of all at no time we have been informed of this when we booked in advance and when I explained to her this it looks like she couldn t be bothered as long as we were gone in Without mentioning that even if we wanted to have some more food or a desert or more drinks anyway we had to go in  I have done many restaurant all over the world at different sort of price and all type of customer service but this is the first time in my life I have been treated so poorly as a customer From that restaurant advertising outside their doors that they are in the Michelin book they are just mentioned in it I would have never expected such a DISGUTING CUSTOMER SERVICE like that  I think that is a disgrace and It is very wrong to ask guests to leave when they are still eating However if they plan at a certain point to KICK customers OUT for other reservations they should at least inform them in advance and not letting them know minutes before the next reservation  People around me hearing about this were not impressed by this and though the same My Japanese friend who recommended me that restaurant was actually embarrassed for doing so and agreed that it was quite wrong  Obviously after this disappointment if it s what we should expect from the restaurant owner or management I would not recommend it to anybody and will not return again 
negative; I walked in and immediately walked out the smell was disgusting We just wanted a quick drink whilst waiting for our table in a nearby restaurant but unfortunately I was unable to stand the smell 
negative; of us visited this restaurant yesterday Had to ask for table to be cleaned  although place was not busy Had to ask about the steaks wine meal as it was not advertised in the venue Mother in law ordered sirloin steak Meal deal and wine when it eventually arrived was stone cold and Mother in law s steak inedible mainly gristle and fat for which she demanded a refund No one came to ask if food was satisfactory We have an excellent Chef and Brewer close to where we live in Northampton so expected a similar standard Staff look demoralised and would suggest a change of leadership as there must be good reason why other restaurants in Ruislip are are full to overflowing whilst The Swan and Bottle is almost empty on a Saturday lunchtime Will not be returning 
negative; I went here with friends on Saturday and had an awful experience The food was either tasteless too hot or wrong They got the orders wrong and an hours wait but the place was empty When we asked to see the manager he was rude aggresive and ever ripped up food in front of us We were made to feel very uncomfortable and were then charged for it completely wasted on bad food and bad service We will never go back there Stay away 
negative;Food was bloody awful dry and over corked the menu used to be wonderful and food about yrs ago now well you better of in a fast food place 
negative; We arrived at and was told it ll be a minute wait despite there being more empty tables than occupied After we were finally seated we waited a further minutes to have our order taken When the food arrived it was cold but as we d waited so long we were hungry and ate some of it we wasn t asked once if our meals were ok something I find surprising from a resturant We then waited another minutes after we d finished eating for our plates to be taken away even though the waitress had looked over numerous times and others that finished after us had been cleared away and paid their bill After being given the receipt we waited a further minutes to pay and leave I believe we could have easily left without paying as they seemed not to care if we were even here I m not one to complain on trip advisor quite the opposite as I believe good service should be recognised but being in a resturant for and a half hours for one course is diabolical 
negative; We have been visiting the hare and tortoise since it opened and it has always provided excellent food great service and good value for money We often visited the pub for special occasions birthdays anniversaries etc as you could guarantee an enjoyable evening  Not anymore Ever since the pub changed management in January it is like a different place they are forever running out of food or if you go for sunday lunch you are expected to wait at least minutes for your dinner and then when the food finally arrives it is always cold  The service is appalling there is lots if new staff and they are mostly all rude and impolite the prices have gone up and the portions sizes are noticeably smaller We went last Sunday for lunch to give the place one last shot after a few recent bad experiences after waiting about minutes for our dinner we asked the manager how much longer it was going to be due to my elderly grandma beginning to feel unwell as she is diabetic and has to eat regularly the manager then snapped at us and said she didn t want us in her pub anymore as we are rude and complain a lot when I commented that we wouldn t have to complain if it was up to scratch she replied that we only like it when we get things for free She then asked us to leave and said she would cancel our order I have never been spoken to in such a way especially in a pub full of people in my whole life We are taking things further and hopefully this unwelcoming rude inexperienced manager won t be at the hare and tortoise for much longer and it can return to being the great pub it once was Bring back pat 
negative; Have tried this pub on several occasions A very pretty pub lovely location However after having been on the receiving end of a very stroppy young lady s attitude on several occasions we gave up When I complained I was told she lived in the village  I did note with interest she was on her best behaviour when the manager was in Staff were more interested in serving the locals no interaction with other members of the public Overall felt very uncomfortable 
negative; Awful service waited over hr due to staff unable to do their job properly messed food order up altogether then when it arrived we were served with cold food needless to say will never visit this place ever again very disappointed please dont waste your money 
